,time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
107,1583723400,2.5346,2.5346,2.5346,2.5346,2.5463341810879627,50.0,5172.696832515505,0.00138268184241515,-0.010737765433336488,-0.012120447275751638,45.727395101040564,0.4948273354628216
108,1583723520,2.5294,2.5294,2.5292,2.5292,2.546307316163171,552.4,5198.816832515504,0.0015364341891755413,-0.010199904539282212,-0.011736338728457751,43.52862872830268,0.3940346697356363
109,1583723640,2.524,2.524,2.5222,2.5222,2.546109402958329,2979.76449454,5345.542106597004,0.0012125350756072815,-0.010220669883948652,-0.011433204959555934,40.79051917341428,0.2658412973909615
110,1583723700,2.5222,2.5222,2.5019,2.5055,2.544842859162881,12816.159368999999,5793.400075047004,-1.5562344636668373e-05,-0.01145265789035177,-0.0114370955457151,35.1153821880217,-0.00037056659152459847
111,1583723760,2.5048,2.5092,2.4956,2.5092,2.5439646695058613,8195.51981603,6198.176065848505,-0.0004440990385569266,-0.011992219343911259,-0.01154812030535433,37.20009408732875,0.06902185638574151
112,1583723880,2.537,2.5452,2.537,2.5452,2.5439616391764845,760.0,4565.191065848505,0.0017133007751868636,-0.009406494336370752,-0.011119795111557616,53.017244341113155,0.8600598464807026
113,1583723940,2.5515,2.5623,2.5423,2.5623,2.544349454046672,12912.26464999,3960.804298347005,0.004168362225663306,-0.005909342329478484,-0.01007770455514179,58.37958003411308,1.0940532402023202
114,1583724000,2.55,2.555,2.55,2.555,2.5443601737327457,464.24638971,3982.561271293504,0.005114642307512175,-0.0036844016707515688,-0.008799043978263745,55.46901441509658,0.9282611344638656
115,1583724060,2.555,2.555,2.5432,2.5432,2.5443788058394765,2631.75361029,4111.5928936185055,0.004766805100329778,-0.0028405376028515232,-0.007607342703181302,51.039400980177575,0.7176929212818236
116,1583724120,2.5448,2.5565,2.5448,2.5565,2.5443809678406324,103.03703926,4052.166221250005,0.005217033297549095,-0.001086051081244932,-0.006303084378794027,55.36589880005064,0.9052993916441222
117,1583724240,2.549,2.549,2.549,2.549,2.544382120403073,97.78994719,4000.455590151505,0.004804573641496571,-0.00029736732692331463,-0.005101940968419884,52.54606032193279,0.7636573568954392
118,1583724300,2.55,2.55,2.55,2.55,2.544387848477397,400.0,3790.3136316460054,0.00440451931603719,0.0004037081766266049,-0.004000811139410586,52.89057923014502,0.7549414354205121
119,1583724360,2.5518,2.5518,2.5518,2.5518,2.5443896999175344,98.01615306,3793.9323485680047,0.0040742272608520905,0.0010919729366545283,-0.002982254324197563,53.54436635695297,0.7570048852179329
120,1583724540,2.5624,2.5624,2.5624,2.5624,2.544391581516924,41.0,3671.774426521505,0.004357284754005909,0.0024643516183098235,-0.0018929331356960855,57.30231605262443,0.8804151576511191
121,1583724600,2.56,2.56,2.56,2.56,2.5444035041079744,300.0,3534.411691982505,0.004170378757009657,0.003320040310565986,-0.0008503384464436713,56.19392752742082,0.8120777005234011
122,1583724660,2.5543,2.557,2.5543,2.557,2.5446226797343057,7500.0,3908.911691982505,0.00365091093524486,0.003713300222612403,6.238928736754365e-05,54.76785928780222,0.7476627149873141
123,1583724720,2.5566,2.557,2.5566,2.557,2.544698683277167,2500.0,4031.087637000005,0.00313336299303295,0.003979093028658731,0.0008457300356257812,54.76785928780222,0.7240000592396691
124,1583724900,2.5361,2.5361,2.5361,2.5361,2.544696588489669,98.13927926,2778.372495888005,0.0013032183706044435,0.0024747529988813355,0.001171534628276892,45.44887719272196,0.4069400500821364
125,1583724960,2.5397,2.5397,2.5397,2.5397,2.5446947286807875,150.0,2784.622495888005,0.0003068652487699375,0.0015551161892393142,0.0012482509404693766,47.11801188391043,0.4521807786024217
126,1583725020,2.5243,2.5243,2.5243,2.5243,2.544694567104317,3.19271499,2632.6641731660047,-0.0013278880571854677,-0.0004116091310124581,0.0009162789261730096,41.29687534788813,0.22718329301127815
127,1583725140,2.5327,2.5327,2.5327,2.5327,2.544691623506887,98.92371003,2635.110358667505,-0.0017551948367348664,-0.0012777146197455735,0.000477480216989293,45.26878333949921,0.3548884387681018
